period,group,student_id,Weighted_avg_score
1,1,30014293.0,0.7840909090909091
1,1,30013482.0,0.6661721981721982
1,1,30011691.0,0.639497150997151
1,1,30012084.0,0.6022727272727273
1,2,30011291.0,0.5899997594997596
1,2,30014289.0,0.5681818181818182
1,2,30009317.0,0.5411486106486106
1,2,30015552.0,0.52227611438481
1,3,30012153.0,0.5143478260869565
1,3,30011765.0,0.5113636363636364
1,3,30014913.0,0.5034782608695653
1,3,30012578.0,0.5015761444674488
1,4,30015756.0,0.5
1,4,30019426.0,0.48699668849668853
1,4,30011465.0,0.4808612128612128
1,4,30011704.0,0.4708695652173913
1,4,30011889.0,0.4318181818181818
1,4,30012677.0,0.3702335627335627
1,4,30009062.0,0.36095238095238097
3,1,30014747.0,0.8457190402190403
3,1,30011315.0,0.7970106745106745
3,1,30023632.0,0.7915414585414585
3,1,30015065.0,0.7840909090909091
3,1,30014792.0,0.6648545343545342
3,2,30011689.0,0.6330391275391276
3,2,30011763.0,0.6195652173913043
3,2,30014658.0,0.6137664372664372
3,2,30014248.0,0.6136363636363636
3,2,30014644.0,0.6094675139675141
3,3,30015759.0,0.5831142376142376
3,3,30014974.0,0.5340909090909091
3,3,30012498.0,0.5113636363636364
3,3,30011420.0,0.4983263403263403
3,3,30011295.0,0.498198244589549
3,4,30012276.0,0.4904164941338855
3,4,30012643.0,0.48046243209286693
3,4,30011318.0,0.4627889260497956
3,4,30011312.0,0.4566263921263921
3,4,30011971.0,0.4175851000851001
3,4,30012116.0,0.37127425633947375
3,4,30014775.0,0.35854987604987604
3,4,30011961.0,
4,1,30012172.0,0.7729650534650535
4,1,30009184.0,0.7628852813852813
4,1,30020104.0,0.7083826728826729
4,1,30016905.0,0.6756740851740852
4,2,30019368.0,0.6749383764383764
4,2,30011909.0,0.6312669737669737
4,2,30011627.0,0.6253749768749769
4,2,30027677.0,0.6136363636363636
4,3,30011743.0,0.6019729344729345
4,3,30014669.0,0.5757423132423133
4,3,30011622.0,0.5227272727272727
4,3,30011761.0,0.5034340659340659
4,4,30011963.0,0.4886363636363636
4,4,30026041.0,0.48590544640544636
4,4,30012143.0,0.4817391304347826
4,4,30015088.0,0.33103276353276356
5,1,30014838.0,0.8850663225663224
5,1,30011518.0,0.7076776001776002
5,1,30014642.0,0.6797716993151777
5,1,30012373.0,0.6269565217391304
5,2,30011696.0,0.5909090909090909
5,2,30011687.0,0.5865476455911239
5,2,30017054.0,0.5659916194916196
5,2,30011425.0,0.5568181818181818
5,3,30011395.0,0.5509430199430199
5,3,30011713.0,0.5227272727272727
5,3,30011641.0,0.49439019836845927
5,3,30011304.0,0.48
5,4,30011510.0,0.45467319717319715
5,4,30012130.0,0.3695652173913044
5,4,30012195.0,0.36925652654224084
5,4,30012966.0,0.3660869565217391
5,4,30011431.0,0.32956521739130434
5,4,30011671.0,
5,4,30013180.0,
7,1,30011311.0,0.9090909090909091
7,1,30012720.0,0.8068181818181818
7,1,30021362.0,0.6818181818181818
7,1,30014729.0,0.6704545454545454
7,2,30022120.0,0.625
7,2,30011419.0,0.6022727272727273
7,2,30012444.0,0.5927443772008989
7,2,30011794.0,0.5681818181818182
7,3,30014835.0,0.532608695652174
7,3,30016895.0,0.5291304347826087
7,3,30008932.0,0.5113636363636364
7,3,30011693.0,0.5112275928580277
7,4,30012163.0,0.4772727272727273
7,4,30015253.0,0.4204761904761905
7,4,30011790.0,0.4090909090909091
7,4,30011785.0,0.39285714285714285
7,4,30012097.0,0.3864430014430015
7,4,30012321.0,0.3452380952380952
7,4,30012072.0,0.3181818181818182
8,1,30011442.0,0.8265981610981612
8,1,30014828.0,0.63459657009657
8,1,30012237.0,0.5909090909090909
8,1,30011317.0,0.5869565217391305
8,1,30011424.0,0.5708524253524254
8,2,30021725.0,0.5538326303326303
8,2,30011535.0,0.5536243120808338
8,2,30011819.0,0.5454545454545454
8,2,30011766.0,0.5252173913043479
8,2,30011366.0,0.5227272727272727
8,3,30012506.0,0.5073913043478261
8,3,30011527.0,0.4772727272727273
8,3,30011463.0,0.4772727272727273
8,3,30011570.0,0.44565217391304346
8,3,30011699.0,0.4431818181818182
8,4,30012381.0,0.4318181818181818
8,4,30011758.0,0.4090909090909091
8,4,30011544.0,0.3409090909090909
8,4,30011533.0,
8,4,30014243.0,
